"'fecha","'kilos café","'N.jornales","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'A.bultos","'A.kilos",
"'11 1","'16557","'192","'18'212.700","'269739","'277'378.300","'3821","'85","'32","'1369","'780",
"'11 -8","'13315","'166","'14646500","'283054","'292'024.800","'3987","'69","'-","'1438","'780",
"'11-15","'14368","'167","'15704800","'297.422","'307 729.600","'4154","'85","'16","'1523","'796",
"'11-22","'18395","'205","'20234500","'315817","'327934100","'4359","'94","'32","'1617","'828",
"'11-29","'10053","'146","'1j058300","'325870","'338'992400","'4505","'52","'32","'1669","'860",
"'12-6","'11072","'145","'12'179200","'336942","'351 171 600","'4650","'57","'12","'1726","'872",
"'12-13","'8390","'133","'9229000","'345332","'360'400.600","'4733","'43","'8","'1769","'880",
"'12-20","'9748","'148","'10785900","'355080","'371 186 500","'4931","'50","'8","'1819","'888",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'Bultus=","'1841","'",
"'","'","'","'","'","'","'","'","'@eps","'5950","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'156 000","'arb.","'prod.",
"'","'","'","'","'","'","'","'","'","'","'arbot",
"'","'","'","'","'","'","'","'","'477","'gramor","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'83.59375000","'82.12890625","'83.98437500","'85.20507813","'83.39843750","'86.32812500","'82.95898438","'85.35156250","'84.47265625","'83.74023438","'84.61914063",
"'88.67187500","'87.10937500","'89.06250000","'90.38085938","'88.47656250","'91.55273438","'87.98828125","'90.52734375","'89.59960938","'88.86718750","'89.74609375",
"'90.13671875","'88.57421875","'90.57617188","'91.84570313","'89.94140625","'93.06640625","'89.45312500","'92.04101563","'91.06445313","'90.33203125","'91.25976563",
"'90.23437500","'88.67187500","'90.67382813","'91.94335938","'90.03906250","'93.16406250","'89.55078125","'92.13867188","'91.16210938","'90.42968750","'91.35742188",
"'90.62500000","'89.01367188","'91.01562500","'92.33398438","'90.42968750","'93.55468750","'89.89257813","'92.52929688","'91.55273438","'90.77148438","'91.74804688",
"'89.99023438","'88.42773438","'90.42968750","'91.74804688","'89.84375000","'92.91992188","'89.30664063","'91.89453125","'90.91796875","'90.18554688","'91.11328125",
"'90.38085938","'88.76953125","'90.82031250","'92.08984375","'90.18554688","'93.31054688","'89.69726563","'92.28515625","'91.30859375","'90.57617188","'91.50390625",
"'89.40429688","'87.84179688","'89.84375000","'91.11328125","'89.20898438","'92.33398438","'88.72070313","'91.30859375","'90.33203125","'89.59960938","'90.52734375",
"'89.89257813","'88.33007813","'90.33203125","'91.65039063","'89.74609375","'92.82226563","'89.20898438","'91.79687500","'90.82031250","'90.08789063","'91.01562500",
"'85.88867188","'84.37500000","'86.27929688","'87.54882813","'85.74218750","'88.67187500","'85.25390625","'87.69531250","'86.76757813","'86.08398438","'86.96289063",
"'86.52343750","'84.96093750","'86.91406250","'88.13476563","'86.32812500","'89.30664063","'85.83984375","'88.33007813","'87.40234375","'86.66992188","'87.54882813",
"'87.35351563","'85.79101563","'87.74414063","'89.01367188","'87.15820313","'90.18554688","'86.66992188","'89.16015625","'88.23242188","'87.50000000","'88.42773438",
"'87.15820313","'85.59570313","'87.54882813","'88.81835938","'86.96289063","'89.99023438","'86.47460938","'89.01367188","'88.03710938","'87.30468750","'88.23242188",
"'85.64453125","'84.17968750","'86.08398438","'87.30468750","'85.49804688","'88.47656250","'85.00976563","'87.50000000","'86.57226563","'85.83984375","'86.71875000",
"'87.35351563","'85.79101563","'87.74414063","'89.01367188","'87.15820313","'90.18554688","'86.66992188","'89.16015625","'88.23242188","'87.50000000","'88.42773438",
"'85.98632813","'84.47265625","'86.37695313","'87.64648438","'85.79101563","'88.76953125","'85.30273438","'87.79296875","'86.86523438","'86.18164063","'87.06054688",
"'88.23242188","'86.71875000","'88.67187500","'89.94140625","'88.08593750","'91.11328125","'87.54882813","'90.13671875","'89.16015625","'88.42773438","'89.35546875",
"'87.35351563","'85.79101563","'87.74414063","'89.01367188","'87.15820313","'90.18554688","'86.66992188","'89.16015625","'88.23242188","'87.50000000","'88.42773438",
"'86.62109375","'85.10742188","'87.06054688","'88.28125000","'86.47460938","'89.45312500","'85.98632813","'88.47656250","'87.54882813","'86.81640625","'87.69531250",
"'85.15625000","'83.64257813","'85.54687500","'86.76757813","'84.96093750","'87.93945313","'84.52148438","'86.96289063","'86.03515625","'85.35156250","'86.23046875",
"'73.19335938","'71.92382813","'73.53515625","'74.60937500","'73.04687500","'75.58593750","'72.65625000","'74.75585938","'73.97460938","'73.33984375","'74.12109375",
"'46.99707031","'46.16699219","'47.21679688","'47.87597656","'46.89941406","'48.51074219","'46.63085938","'47.97363281","'47.48535156","'47.09472656","'47.58300781",
