"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'9","'02.27","'Guadaia","'","'contrato","'","'","'253000","'9511.000",
"'11","'02-29","'Quadaia","'","'11","'","'","'440000","'9'951.000",
"'2","'03-5","'Desbgercada","'","'","'17","'","'840000","'10'791.000",
"'1","'03-5","'plated","'","'","'17,5","'","'840.000","'11'631000",
"'11","'02-28","'plateD","'","'","'24","'","'1152000","'13'083.000",
"'1","'03-7","'Guadaiia","'","'","'contrato","'","'407.000","'13'490000",
"'11","'03.1","'Guadaia","'","'","'"" "","'","'440000","'13'930000",
"'7","'03-","'C.Q/W","'3L+1.5","'140 000","'3cuadra","'240.000","'380.000","'14'310 000",
"'3","'03-9","'Guadara","'3L+1,5L","'191.400","'3wadree","'431.400","'431.400","'14'741400",
"'6","'03-","'C.Q/CO","'7L+3.5Lt","'3,5","'440.000","'456000","'896000","'15'637400",
"'13","'03-7","'Desby suilda","'","'","'13.5","'","'648000","'16'285400",
"'7","'03-14","'"" 11","'","'","'12.0","'","'576000","'16'861.400",
"'2","'03-13","'C Q/CO","'3L+1,5+1,2196","'228000","'","'288000","'510000","'17'377.400",
"'13","'03 - 15","'C.Q/W","'3L+1,St1:2196","'228000","'","'248000","'470000","'17'853400",
"'8","'03-21","'c.a/w","'","'380000","'Garadras","'520000","'900.000","'18'753400",
"'108","'03-18","'e.g/co","'2L+11+96t94","'149000","'contrate","'144000","'293000","'19'046.400",
"'9","'03-20","'C.Q/CO","'2L+1L+0,4+94","'145000","'11","'184000","'329000","'19'375400",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'87.93945313","'90.28320313","'91.40625000","'92.04101563","'92.82226563","'92.13867188","'93.60351563","'93.01757813","'93.31054688",
"'81.25000000","'83.39843750","'84.42382813","'85.00976563","'85.69335938","'85.10742188","'86.47460938","'85.93750000","'86.18164063",
"'83.44726563","'85.64453125","'86.71875000","'87.30468750","'88.03710938","'87.40234375","'88.81835938","'88.28125000","'88.52539063",
"'84.27734375","'86.52343750","'87.59765625","'88.18359375","'88.91601563","'88.28125000","'89.69726563","'89.16015625","'89.45312500",
"'83.78906250","'86.03515625","'87.10937500","'87.69531250","'88.42773438","'87.79296875","'89.20898438","'88.62304688","'88.91601563",
"'84.08203125","'86.27929688","'87.40234375","'87.98828125","'88.72070313","'88.08593750","'89.45312500","'88.91601563","'89.20898438",
"'81.78710938","'83.93554688","'85.00976563","'85.54687500","'86.27929688","'85.64453125","'87.01171875","'86.47460938","'86.76757813",
"'80.02929688","'82.12890625","'83.15429688","'83.74023438","'84.42382813","'83.78906250","'85.15625000","'84.61914063","'84.86328125",
"'83.20312500","'85.40039063","'86.47460938","'87.06054688","'87.74414063","'87.15820313","'88.52539063","'87.98828125","'88.28125000",
"'81.93359375","'84.13085938","'85.15625000","'85.74218750","'86.47460938","'85.83984375","'87.20703125","'86.66992188","'86.96289063",
"'81.98242188","'84.17968750","'85.20507813","'85.79101563","'86.52343750","'85.88867188","'87.25585938","'86.71875000","'87.01171875",
"'82.56835938","'84.76562500","'85.83984375","'86.42578125","'87.10937500","'86.47460938","'87.89062500","'87.35351563","'87.59765625",
"'82.91015625","'85.10742188","'86.18164063","'86.76757813","'87.50000000","'86.86523438","'88.23242188","'87.69531250","'87.98828125",
"'82.95898438","'85.15625000","'86.23046875","'86.81640625","'87.54882813","'86.91406250","'88.28125000","'87.74414063","'88.03710938",
"'83.64257813","'85.83984375","'86.91406250","'87.50000000","'88.23242188","'87.59765625","'89.01367188","'88.47656250","'88.72070313",
"'83.20312500","'85.40039063","'86.47460938","'87.06054688","'87.74414063","'87.15820313","'88.52539063","'87.98828125","'88.28125000",
"'81.20117188","'83.34960938","'84.42382813","'84.96093750","'85.69335938","'85.05859375","'86.42578125","'85.88867188","'86.13281250",
"'86.76757813","'89.06250000","'90.18554688","'90.77148438","'91.55273438","'90.86914063","'92.33398438","'91.79687500","'92.04101563",
