"'LOTE have","'FECHA 03.27","'METODO Guadana","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'Powevir","'04-12","'if","'","'4.5 cuadran","'","'","'495000","'9'570.200",
"'Hotob","'03-27","'plateo","'","'9,0 ""","'","'","'990000","'10'560.200",
"'Gerame","'04-17","'c.0/20","'4L+21+21","'287200","'8","'","'384000","'10'944.200",
"'Ladora","'04-","'Guadaua","'","'","'","'320000","'607.200","'11'551400",
"'Graman","'04-16","'Desbejucada","'","'","'","'495000","'495000","'12'046400",
"'","'05.1","'e.Q/w","'52+2,5+2,5","'312000","'16","'48000","'768 000","'12'814 400",
"'T/ra","'04-29","'","'","'","'13","'360.000","'672000 624000","'13'486400",
"'cologuror","'05-10","'"" 11","'","'","'21","'1008,000","'1008000","'14'110 400",
"'porvering","'05-24","'Guadana","'","'","'","'1'100.000","'1'100.000","'15'118400 16'218400",
"'porton","'07.1","'perbeful + caudo","'plateo","'","'66","'3'168000","'3'168000","'19'386400",
"'Danubio","'05-17","'plateo","'","'al dia","'13","'624000","'624000","'20'010.400",
"'","'05-6","'C.Q/W","'9,5L+4,5,4,5 contrato","'573000","'","'800.000","'1373000","'21'383400",
"'Batea","'05-30","'Guadana","'","'","'","'","'275000","'21'658.400",
"'Danubio","'06-20","'"" "","'","'","'","'","'220000","'21'878.400",
"'Danubio","'07-12","'plateo","'","'","'17","'","'816000","'22'694400",
"'Motobomba","'06-19","'C.Q/W.","'4L+2L+2L","'252000","'4 euadras","'","'320 000","'23'014.400",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'53.71093750","'57.51953125","'58.83789063","'58.59375000","'59.22851563","'57.22656250","'58.39843750","'58.39843750","'59.47265625",
"'77.78320313","'83.30078125","'85.25390625","'84.91210938","'85.79101563","'82.91015625","'84.61914063","'84.61914063","'86.18164063",
"'80.46875000","'86.18164063","'88.23242188","'87.84179688","'88.76953125","'85.79101563","'87.54882813","'87.54882813","'89.16015625",
"'80.81054688","'86.52343750","'88.57421875","'88.18359375","'89.11132813","'86.13281250","'87.89062500","'87.89062500","'89.50195313",
"'75.39062500","'80.71289063","'82.61718750","'82.27539063","'83.10546875","'80.32226563","'81.98242188","'81.98242188","'83.49609375",
"'77.44140625","'82.95898438","'84.91210938","'84.57031250","'85.40039063","'82.56835938","'84.22851563","'84.22851563","'85.79101563",
"'80.90820313","'86.66992188","'88.67187500","'88.33007813","'89.20898438","'86.23046875","'87.98828125","'87.98828125","'89.64843750",
"'72.60742188","'77.73437500","'79.58984375","'79.24804688","'80.07812500","'77.39257813","'78.95507813","'78.95507813","'80.41992188",
"'79.10156250","'84.66796875","'86.66992188","'86.32812500","'87.20703125","'84.27734375","'86.03515625","'86.03515625","'87.59765625",
"'73.68164063","'78.90625000","'80.76171875","'80.41992188","'81.25000000","'78.51562500","'80.12695313","'80.12695313","'81.59179688",
"'78.85742188","'84.47265625","'86.42578125","'86.08398438","'86.96289063","'84.08203125","'85.79101563","'85.79101563","'87.35351563",
"'76.12304688","'81.54296875","'83.44726563","'83.10546875","'83.98437500","'81.15234375","'82.81250000","'82.81250000","'84.32617188",
"'79.63867188","'85.30273438","'87.30468750","'86.91406250","'87.84179688","'84.86328125","'86.62109375","'86.62109375","'88.23242188",
"'80.66406250","'86.37695313","'88.42773438","'88.03710938","'88.96484375","'85.98632813","'87.74414063","'87.74414063","'89.35546875",
"'80.61523438","'86.32812500","'88.37890625","'87.98828125","'88.91601563","'85.93750000","'87.69531250","'87.69531250","'89.30664063",
"'80.27343750","'85.98632813","'87.98828125","'87.64648438","'88.52539063","'85.54687500","'87.30468750","'87.30468750","'88.91601563",
"'84.81445313","'90.82031250","'92.96875000","'92.57812500","'93.50585938","'90.38085938","'92.23632813","'92.23632813","'93.94531250",
