"'fecha","'kilos café","'N.jornales","'valor.jor","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'A.bultos","'A.kilos",
"'90.13671875","'88.08593750","'91.01562500","'91.99218750","'90.18554688","'92.77343750","'90.38085938","'92.08984375","'90.72265625","'90.18554688","'89.89257813",
"'90.38085938","'88.28125000","'91.25976563","'92.23632813","'90.42968750","'93.01757813","'90.62500000","'92.33398438","'90.91796875","'90.42968750","'90.13671875",
"'89.59960938","'87.50000000","'90.47851563","'91.40625000","'89.64843750","'92.18750000","'89.84375000","'91.50390625","'90.13671875","'89.64843750","'89.35546875",
"'89.74609375","'87.64648438","'90.62500000","'91.55273438","'89.79492188","'92.33398438","'89.94140625","'91.65039063","'90.28320313","'89.79492188","'89.50195313",
"'89.50195313","'87.45117188","'90.38085938","'91.35742188","'89.55078125","'92.13867188","'89.74609375","'91.40625000","'90.03906250","'89.55078125","'89.25781250",
"'90.33203125","'88.23242188","'91.21093750","'92.18750000","'90.38085938","'92.96875000","'90.57617188","'92.28515625","'90.86914063","'90.38085938","'90.08789063",
"'89.55078125","'87.45117188","'90.42968750","'91.40625000","'89.59960938","'92.18750000","'89.79492188","'91.45507813","'90.08789063","'89.59960938","'89.30664063",
"'89.45312500","'87.40234375","'90.33203125","'91.30859375","'89.50195313","'92.08984375","'89.69726563","'91.35742188","'89.99023438","'89.50195313","'89.20898438",
"'89.74609375","'87.64648438","'90.62500000","'91.55273438","'89.79492188","'92.33398438","'89.94140625","'91.65039063","'90.28320313","'89.79492188","'89.50195313",
"'89.01367188","'86.96289063","'89.89257813","'90.86914063","'89.06250000","'91.65039063","'89.25781250","'90.96679688","'89.59960938","'89.06250000","'88.81835938",
"'90.03906250","'87.98828125","'90.91796875","'91.89453125","'90.08789063","'92.67578125","'90.28320313","'91.99218750","'90.62500000","'90.08789063","'89.84375000",
"'87.93945313","'85.88867188","'88.76953125","'89.74609375","'87.93945313","'90.47851563","'88.13476563","'89.79492188","'88.47656250","'87.93945313","'87.69531250",
"'90.82031250","'88.72070313","'91.69921875","'92.67578125","'90.82031250","'93.45703125","'91.01562500","'92.77343750","'91.35742188","'90.82031250","'90.57617188",
"'89.16015625","'87.10937500","'90.03906250","'91.01562500","'89.20898438","'91.79687500","'89.40429688","'91.11328125","'89.74609375","'89.20898438","'88.96484375",
"'88.33007813","'86.27929688","'89.20898438","'90.13671875","'88.37890625","'90.91796875","'88.57421875","'90.23437500","'88.86718750","'88.37890625","'88.08593750",
"'92.87109375","'90.72265625","'93.79882813","'94.77539063","'92.91992188","'95.60546875","'93.11523438","'94.87304688","'93.45703125","'92.91992188","'92.62695313",
